regulatoryGene,targetGene,weight
SPI1,C1QB,0.0387749666982031
NR1D1,NR1D2,0.0387368078941869
PITX1,CTC-276P9.4,0.0386954458605651
FOXM1,EME1,0.0386534391480238
TFEC,NPL,0.0386071723478222
TBX21,PRF1,0.0386021617704631
TFEC,EVI2B,0.0385930186601975
E2F8,RAD51,0.0385630719866633
E2F8,SPAG5,0.0385216270516728
NR4A1,ATF3,0.0384943766097361
IRF5,CD300A,0.0384476342229745
HOXA4,HOXA3,0.0383893720236788
MYBL2,DEPDC1,0.0383524497590143
IRF5,PIK3R5,0.0383386486478864
NR4A3,NR4A1,0.0383334216587365
CEBPA,ELMOD3,0.0383333795806084
TFEC,RGS18,0.0383213238689439
MYBL2,KIF18B,0.0383032893007316
IRF5,VAV1,0.0382917427124075
TFEC,EVI2A,0.0382842308717753
IKZF1,ITGAL,0.0382808436875463
PPARG,FZD4,0.038279900337338
MYBL2,DLGAP5,0.0382759619540367
SPI1,LILRB1,0.038198376875704
NR4A1,PTGS2,0.0381964174066875
IRF9,OAS1,0.038183460846246
NR4A2,NR4A1,0.0381604507382679
SIX1,SALRNA1,0.0380929244337419
MYBL2,DIAPH3,0.0380863067208763
NFATC2,RFX2,0.0380847922250412
IRF5,WAS,0.0380078399430111
HOXC13,HOXC10,0.038000079258531
DZIP1,GLT8D2,0.0379994727404696
EGR3,TRIB1,0.037994261106218
EOMES,FCRL3,0.0379302876156708
MYBL2,SGOL1,0.0378818208305947
SPI1,DOK2,0.0378809012262159
FOSB,SOCS3,0.0378710247873389
MYBL2,UBE2T,0.037842455085677
EBF1,GHR,0.0378372949396425
MYBL2,SPC24,0.0378198756623925
SP140,MAP4K1,0.0378111399077694
SPI1,LRRC25,0.0378076025622401
NR4A2,PTGS2,0.0377842219138324
E2F7,KIF14,0.0377396705649795
ZBED6,VPS13B,0.0377229995752899
CENPT,MTMR9LP,0.037716286829046
E2F8,MND1,0.0377099607774939
ZBTB48,PIDD1,0.0377008188060257
TFEC,MFSD1,0.0376972539182458
GFI1,IKZF3,0.0376506660523347
E2F8,UBE2C,0.0376309069087115
E2F8,FOXM1,0.0376007950793954
MITF,TFPI,0.0375783326988038
E2F7,DEPDC1,0.0375688661962657
PROX1,SCN3B,0.0375478417409132
TFEC,MSR1,0.037540523613246
E2F2,MYBL2,0.0375402500347355
CUX2,HPGD,0.0374934499136048
NR4A1,CYR61,0.0374932943800936
IRF5,ARHGAP9,0.0374217437031386
MYBL2,LMNB1,0.0374132745322223
IKZF3,GFI1,0.0373805139967095
FOXM1,PTTG1,0.0373784114579241
HOXD10,HOXD9,0.0373652351958715
FOXM1,CASC5,0.0373454089499137
IRF5,MYO1F,0.0373345555052453
ERG,CXorf36,0.0373332057780565
SPI1,SLC7A7,0.0373275808801402
